S.No,Date,City,Country,Customer Type,Gender,Product Category,Product,SKU,Unit Cost,Sales Price,Quantity,Cost of Goods Sold,Discount,Payment Method,Revenue,Profit
1,29-06-2024,Seattle,USA,Normal,Male,Groceries,Coffee (200g),1033,? 250.00,? 325.00,6,1500,? 100.00,Credit Card,"? 1,950.00",? 450.00
2,29-06-2024,Sheffield,UK,Member,Male,Groceries,Fruits,1024,? 80.00,? 104.00,9,720,? 93.60,Cash,? 936.00,? 216.00
3,29-06-2024,Kanpur,India,Normal,Female,Personal Care,Shampoo,1051,? 180.00,? 234.00,1,180,? 16.38,Credit Card,? 234.00,? 54.00
4,29-06-2024,Raichur,India,Normal,Male,Groceries,Energy Drink,1034,? 100.00,? 130.00,7,700,? 42.00,Cash,? 840.00,? 140.00
5,29-06-2024,Milwaukee,USA,Normal,Male,Groceries,Bread,1022,? 40.00,? 52.00,3,120,? 7.80,Cash,? 156.00,? 36.00
6,29-06-2024,Las Vegas,USA,Normal,Male,Groceries,Energy Drink,1034,? 100.00,? 130.00,6,600,? 39.00,Cash,? 780.00,? 180.00
7,29-06-2024,Austin,USA,Normal,Female,Personal Care,Shampoo,1051,? 180.00,? 234.00,7,1260,? 81.90,Cash,"? 1,638.00",? 378.00
8,29-06-2024,San Diego,USA,Normal,Female,Groceries,Fruits,1024,? 80.00,? 104.00,3,240,? 31.20,E-Wallet,? 312.00,? 72.00
9,29-06-2024,Kolhapur,India,Normal,Male,Groceries,Juice (1L),1032,? 90.00,? 117.00,6,540,? 49.14,Credit Card,? 702.00,? 162.00
10,29-06-2024,Umm Al Quwain,UAE,Normal,Male,Groceries,Packaged Water (1L),1031,? 20.00,? 26.00,5,100,? 8.40,Credit Card,? 120.00,? 20.00
11,29-06-2024,Mumbai,India,Normal,Male,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",7,385000,"? 10,725.00",Cash,"? 5,00,500.00","? 1,15,500.00"
12,29-06-2024,Gandhinagar,India,Normal,Male,Household Items,Dish Soap,1047,? 80.00,? 104.00,2,160,? 9.60,Cash,? 192.00,? 32.00
13,29-06-2024,Baranagar,India,Member,Male,Groceries,Rice,1020,? 60.00,? 78.00,4,240,? 31.20,Cash,? 312.00,? 72.00
14,29-06-2024,Montreal,Canada,Normal,Male,Electronics,Charger,1007,? 800.00,"? 1,040.00",5,4000,? 104.00,Credit Card,"? 5,200.00","? 1,200.00"
15,29-06-2024,Nashville,USA,Normal,Male,Groceries,Tea,1029,? 550.00,? 715.00,1,550,? 34.38,Cash,? 687.50,? 137.50
